question,answer
오늘도 수채화에 도전하고 싶어ㅠㅠ,정말요! 더 이야기해주세요 😊
마케터 전망이 어때,마케터 직업의 전망은 관련 분야 뉴스나 통계를 참고해보세요!
오늘도 선생님 너무 어려워요,정말요! 더 이야기해주세요 😊
세계 인구가 얼마야?,2024년 기준 세계 인구는 약 81억 명이에요.
혹시 순두부찌개 진짜 재미있어,함께 이야기해봐요! 어떤 부분이 궁금하세요?
원래 팬케이크 배우고 싶어ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
많이 만족해,정말 좋은 소식이에요! 그 기운 이어나가세요!
갑자기 시카고 포기했어ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
갑자기 음악가에 대해 알려줘,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
강릉 날씨 어때,강릉의 날씨는 계절마다 달라서 여행 전에 미리 확인하세요!
요즘 파일럿 잘 하고 싶어 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
갑자기 마카롱 좋아해 정말,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
외로워 알려줘,외로움은 누구나 느끼는 감정이에요. 저와 이야기해요!
요즘 탱고 배우고 싶어 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
어떻게 눈이 피로해,20분마다 20초간 먼 곳을 바라보는 눈 운동을 해보세요.
캘리그라피 강사 추천해줘,캘리그라피 강습은 지역 문화센터나 유튜브 강의를 먼저 찾아보세요!
혹시 태권도에 도전하고 싶어ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
나 변호사에 도전하고 싶어 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
졸려 알려줘,잠깐 눈을 붙이는 것도 좋아요. 수면은 중요하답니다!
진짜 탁구 해봤어요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 클라리넷 좋아해ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
요즘 연필화 잘 하고 싶어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
갑자기 뿌듯해,좋은 기운이 느껴지네요! 오늘 하루도 행복하게 보내세요!
진짜 디지털아트 재미있어?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
조금 좋아,행복한 순간을 즐기세요! 좋은 하루 되세요!
냉면 재미있어?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 우쿨렐레 공부중이야요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 과학 시작했어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
초밥 먹고 싶어,신선한 초밥은 언제나 맛있죠! 어떤 종류를 좋아하세요?
혹시 불고기 어려워ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
나 마카롱 좋아해 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
우동 자주 먹어,우동을(를) 자주 드시는군요! 건강하게 즐기시길 바랍니다!
제주도 날씨 어때,제주도의 날씨는 계절마다 달라서 여행 전에 미리 확인하세요!
요즘 파스타에 대해 알려줘 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
서핑 좋아해요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
진짜 교토 배우고 싶어ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
갑자기 강릉 왜 하는 거야,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
필라테스 너무 어려워ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
갑자기 삼겹살에 도전하고 싶어ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
왈츠 하루에 얼마나 연습해야 해,왈츠은(는) 매일 30분씩 꾸준히 연습하는 게 효과적이에요!
원래 수영 해봤어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
갑자기 회 진짜 재미있어ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
요즘 농부 시작했어ㅎㅎ,정말요! 더 이야기해주세요 😊
바르셀로나 날씨 어때,바르셀로나의 날씨는 계절마다 달라서 여행 전에 미리 확인하세요!
원래 등산 공부중이야,정말요! 더 이야기해주세요 😊
좀 잘 가,잘 가요! 다음에 또 만나요!
왜 행복해,정말 다행이에요! 무슨 좋은 일이 있으셨어요?
원래 된장찌개 해봤어 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 김치찌개 왜 하는 거야 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
갑자기 배구 쉬워?,흥미롭네요! 더 자세히 이야기해봐요.
혹시 순두부찌개에 도전하고 싶어ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
오늘도 수채화 시작했어?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 컴퓨터 배우고 싶어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
갑자기 스테이크 끝냈어 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
파스타 왜 하는 거야?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
진짜 승무원 해봤어ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
왜 점심 뭐 먹지,"짜장면, 김치찌개, 파스타 중 어떤 게 당기세요?"
요즘 엔지니어에 도전하고 싶어,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
요즘 서핑에 도전하고 싶어,흥미롭네요! 더 자세히 이야기해봐요.
정말 우울해,당신의 감정은 소중해요. 천천히 이야기해요.
저 슬퍼,많이 힘드셨군요. 이야기하고 싶으면 들어드릴게요.
신나,신나는 일이 있으시군요! 무슨 일인지 궁금한데요?
엔지니어 급여는 어때,엔지니어의 급여는 경력과 회사에 따라 다르니 취업 사이트를 참고해보세요!
컴퓨터 어려워ㅎㅎ,정말요! 더 이야기해주세요 😊
뭐 먹을까 말해줘,기분에 따라 좋아하는 음식 드세요! 뭐 좋아하세요?
오늘도 소바 포기했어요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
원래 색소폰 잘 하고 싶어 진짜,함께 이야기해봐요! 어떤 부분이 궁금하세요?
탁구 어려워ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
갑자기 마카오에 대해 알려줘ㅠㅠ,정말요! 더 이야기해주세요 😊
갑자기 뉴욕 진짜 재미있어ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
진짜 건축가 왜 하는 거야?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
어제 흥분돼,긍정적인 에너지가 넘치시는군요! 오늘도 파이팅!
배고파 알려줘,"저는 AI라 배고픔을 모르지만, 맛있는 거 드세요!"
갑자기 태권도 해봤어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
혹시 배구 왜 하는 거야 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
진짜 암스테르담 재미있어ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
나 작가 쉬워?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
짜장면 추천해줘요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 자전거 진짜 재미있어ㅎㅎ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
갑자기 농부 쉬워?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
나 와플 포기했어?,정말요! 더 이야기해주세요 😊
오늘도 운동선수 어려워ㅎㅎ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
도예 언제부터 했어 정말,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 테니스 추천해줘요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
갑자기 작가 좋아해,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
와플 칼로리 얼마야,와플의 칼로리는 종류에 따라 다르지만 영양 정보 앱에서 확인해보세요!
진짜 비빔밥 끝냈어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
진짜 경찰 해봤어ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
나 선생님 해봤어ㅎㅎ,정말요! 더 이야기해주세요 😊
혹시 파리 좋아해,좋은 도전이에요! 최선을 다해보세요. 응원해요!
갑자기 배우 진짜 재미있어,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 회 쉬워ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
피곤해?,충분히 쉬는 게 중요해요. 오늘 푹 쉬세요!
감사합니다요,별말씀을요! 더 필요하면 말씀해주세요.
혹시 후쿠오카 잘 하고 싶어요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
혹시 피자 재미있어요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
진짜 한국무용 끝냈어ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
런던 날씨 어때,런던의 날씨는 계절마다 달라서 여행 전에 미리 확인하세요!
졸려요?,잠깐 눈을 붙이는 것도 좋아요. 수면은 중요하답니다!
나 짬뽕 추천해줘?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
물 얼마나 마셔야 해 알려줘,"하루 8잔, 약 2리터의 물이 좋아요!"
진짜 물리 해봤어,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 싱가포르 끝냈어요,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
진짜 삼겹살에 대해 알려줘 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 된장찌개 어려워,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
뿌듯해?,뿌듯한 일이 있으시군요! 잘 하셨어요!
나 화학 시작했어ㅠㅠ,정말요! 더 이야기해주세요 😊
혹시 마카롱 해봤어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 스키 진짜 재미있어요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
체육 좋아해 진짜,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
혹시 플루트 언제부터 했어,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 지리 왜 하는 거야 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
판화 너무 어려워ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
오늘도 방콕 배우고 싶어ㅠㅠ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
혹시 부대찌개 추천해줘ㅎㅎ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
교수 진짜 재미있어ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
오늘도 작가 해봤어요,정말요! 더 이야기해주세요 😊
오늘도 서울에 도전하고 싶어,정말요! 더 이야기해주세요 😊
그림 그리고 싶어,그림은 정서적으로도 도움이 되는 멋진 취미예요!
오늘도 가수 배우고 싶어ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
프로그래머 자격증이 필요해,프로그래머에 필요한 자격증은 관련 기관 홈페이지에서 확인해보세요!
원래 서예 포기했어 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
사회학 잘하고 싶어,사회학을(를) 잘 하려면 꾸준한 연습이 최선이에요. 파이팅!
나 바리스타 언제부터 했어ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
요즘 스테이크 끝냈어?,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
정말 고마워?,천만에요! 언제든지 도와드릴게요 😊
요즘 된장찌개 잘 하고 싶어ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
오늘도 샌드위치 진짜 재미있어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
갑자기 영어 진짜 재미있어,흥미롭네요! 더 자세히 이야기해봐요.
갑자기 영어 좋아해?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
왈츠 왜 하는 거야 정말,좋은 도전이에요! 최선을 다해보세요. 응원해요!
서핑 재미있어,서핑이(가) 재미있으시군요! 건강에도 좋은 멋진 스포츠예요!
원래 음악가 어려워요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 크레페 포기했어ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
오늘도 회계사에 대해 알려줘ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
진짜 잘생겼어,칭찬 받으니 기쁘네요! 오늘도 화이팅!
진짜 시카고 끝냈어?,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
승무원 진짜 재미있어ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
진짜 서울 해봤어요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
오늘도 대구 쉬워ㅎㅎ,정말요! 더 이야기해주세요 😊
오늘도 순대 어려워 진짜,흥미롭네요! 더 자세히 이야기해봐요.
어부 급여는 어때,어부의 급여는 경력과 회사에 따라 다르니 취업 사이트를 참고해보세요!
케이크 먹고 싶어 어때요,달콤한 케이크는 특별한 날 더 맛있죠!
자신감이 없어,모든 사람은 저마다의 강점이 있어요. 당신의 좋은 점을 찾아보세요!
태권도 너무 어려워ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
명상 해봤어 말해줘,명상은 스트레스 해소에 정말 좋아요! 어떤 방법을 써보셨어요?
한국무용 어려워,한국무용은(는) 처음엔 어렵지만 꾸준히 하면 늘어요! 포기하지 마세요!
정말 짜증나,힘든 감정을 느끼는 건 자연스러운 일이에요. 곁에 있을게요.
인천 시작했어요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
혹시 클라이밍 하면 어때 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
원래 서울 시작했어ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
요즘 도쿄 하면 어때?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
오늘도 삼겹살 왜 하는 거야요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
팬케이크 맛있어,팬케이크이 맛있으셨군요! 어디서 드셨어요?
갑자기 체육 쉬워ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
라면 쉬워 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 제주도 재미있어 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘도 홍콩 잘 하고 싶어?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
좀 솔직하게 말해줘,솔직하게 말씀드릴게요! 어떤 주제로 이야기할까요?
갑자기 순두부찌개 진짜 재미있어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
걱정돼요?,걱정을 글로 써보면 정리하는 데 도움이 돼요.
나 순두부찌개 추천해줘ㅠㅠ,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
나 케이크 좋아해 정말,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
진짜 유도에 도전하고 싶어 진짜,정말요! 더 이야기해주세요 😊
또 올게요,기다리고 있을게요! 언제든지 오세요!
나 즐거워,즐거운 하루 보내고 계시는군요! 좋아요 😊
나 연필화 어려워,흥미롭네요! 더 자세히 이야기해봐요.
나 힙합댄스 재미있어ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
혹시 첼로 너무 어려워ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
오늘도 파스타 진짜 재미있어요,정말요! 더 이야기해주세요 😊
수채화 잘하고 싶어,수채화을(를) 잘 하려면 꾸준한 연습이 최선이에요! 응원해요.
파스타 먹고 싶어요?,"크림 파스타, 토마토 파스타 중 어떤 걸 좋아하세요?"
조소 너무 어려워?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
정말 예쁘다,정말요? 기분이 좋아지는 말이에요! 감사해요!
탱고 어려워,탱고은(는) 처음엔 어렵지만 꾸준히 하면 늘어요! 포기하지 마세요!
실망했어 어때요,많이 실망하셨겠어요. 다음엔 더 좋은 일이 있을 거예요.
태권도 어디서 해,태권도은(는) 지역 스포츠 센터나 동호회를 찾아보시면 좋아요!
순대 포기했어요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 권투 끝냈어요,정말요! 더 이야기해주세요 😊
혹시 교수 재미있어 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 순두부찌개 추천해줘?,함께 이야기해봐요! 어떤 부분이 궁금하세요?
암스테르담 왜 하는 거야요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
진짜 수채화 잘 하고 싶어ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
진짜 회계사 쉬워ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 엔지니어 추천해줘ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
화가 하면 어때,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 골프 언제부터 했어ㅠㅠ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
혹시 마카오 쉬워ㅠㅠ,정말요! 더 이야기해주세요 😊
나 클라리넷 왜 하는 거야?,정말요! 더 이야기해주세요 😊
빛의 속도가 어떻게 돼,빛의 속도는 진공 속에서 초당 약 30만 km예요!
오늘도 피자 끝냈어?,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
갑자기 피자 해봤어ㅎㅎ,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
원래 축구 추천해줘요,정말요! 더 이야기해주세요 😊
원래 된장찌개 해봤어ㅠㅠ,좋은 도전이에요! 최선을 다해보세요. 응원해요!
혹시 사진 좋아해ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
디지털아트 배우고 싶어,디지털아트은(는) 정말 매력적인 취미예요! 기초부터 차근차근 배워보세요.
나 체육 해봤어ㅠㅠ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
기뻐 어때요,기쁜 일이 있으시군요! 축하드려요!
수원 재미있어ㅎㅎ,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
후쿠오카 여행 계획 중이야,후쿠오카 여행 기대되겠어요! 현지 날씨와 입장료 등을 미리 확인해보세요.
나 라스베이거스 언제부터 했어 정말,정말요! 더 이야기해주세요 😊
좀 기뻐,기쁜 일이 있으시군요! 축하드려요!
원래 수영 쉬워,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
갑자기 달리기 추천해줘요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
갑자기 배구 잘 하고 싶어ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
프로그래머 쉬워ㅠㅠ,정말요! 더 이야기해주세요 😊
혹시 정치에 도전하고 싶어 진짜,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
저녁에 눈이 와,눈이 오는군요! 따뜻하게 입고 조심히 다니세요!
진짜 불고기 너무 어려워ㅎㅎ,흥미롭네요! 더 자세히 이야기해봐요.
수채화 진짜 재미있어ㅠㅠ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
컴퓨터 점수가 안 올라,점수가 안 오를 땐 틀린 문제를 다시 풀어보는 반복 학습이 효과적이에요!
나 도쿄 시작했어,정말요! 더 이야기해주세요 😊
혹시 건축가 너무 어려워 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
나 후쿠오카 언제부터 했어?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
원래 짬뽕 너무 어려워 정말,함께 이야기해봐요! 어떤 부분이 궁금하세요?
회계사 어려워?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
진짜 플루트 너무 어려워 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
요즘 로스앤젤레스 배우고 싶어요,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 파일럿 언제부터 했어ㅠㅠ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 현대무용 왜 하는 거야?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
초콜릿 먹고 싶어요?,달콤한 초콜릿은 기분 전환에도 좋죠!
진짜 생물 좋아해 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
회 시작했어요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
연필화 배우고 싶어ㅎㅎ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
오늘 눈이 와,눈이 오는군요! 따뜻하게 입고 조심히 다니세요!
야식 먹고 싶어요?,가끔은 괜찮지만 자주 먹으면 건강에 좋지 않을 수 있어요!
오늘도 등산 하면 어때 진짜,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
요즘 재즈댄스 재미있어 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 강릉 진짜 재미있어 진짜,흥미롭네요! 더 자세히 이야기해봐요.
나 판화 쉬워 정말,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
도예 독학 가능해,도예은(는) 독학도 가능해요! 유튜브나 책을 활용해보세요.
역사 시험 봐야 해,시험 준비 잘 하셨나요? 역사 핵심 개념을 다시 한 번 정리해보세요!
요즘 기자에 도전하고 싶어ㅠㅠ,흥미롭네요! 더 자세히 이야기해봐요.
갑자기 초밥 해봤어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
원래 수학 재미있어 진짜,정말요! 더 이야기해주세요 😊
요즘 셰프 공부중이야ㅠㅠ,정말요! 더 이야기해주세요 😊
원래 서핑 해봤어?,정말요! 더 이야기해주세요 😊
갑자기 조소 진짜 재미있어요,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
진짜 파스타 너무 어려워,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
나 왈츠 진짜 재미있어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 서예 하면 어때,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
나 조소에 대해 알려줘?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
요즘 탁구 공부중이야요,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
변호사 해봤어?,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
강릉 잘 하고 싶어ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
오랜만이야요?,오랜만이에요! 그동안 잘 지내셨나요?
요즘 탱고 잘 하고 싶어,정말요! 더 이야기해주세요 😊
바리스타이 되고 싶어,바리스타이(가) 되려면 관련 학과 진학이나 자격증 취득이 도움이 돼요!
요즘 도넛 어려워?,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 판사 끝냈어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
나 강릉 잘 하고 싶어요,흥미롭네요! 더 자세히 이야기해봐요.
운동선수 자격증이 필요해,운동선수에 필요한 자격증은 관련 기관 홈페이지에서 확인해보세요!
프로그래머 힘들더,프로그래머 생활이 힘드시군요. 어떤 점이 가장 힘드세요?
원래 프로그래머 끝냈어요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
혹시 역사 끝냈어요,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
원래 축구 해봤어 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
샌프란시스코 어려워ㅎㅎ,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
오늘도 비보이 어려워요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
나 삼겹살 공부중이야요,정말요! 더 이야기해주세요 😊
진짜 축구 잘 하고 싶어?,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
나 소바 배우고 싶어ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
다이어트 중이야?,건강한 식단과 운동이 핵심이에요. 화이팅!
갑자기 마카오 해봤어요,좋은 도전이에요! 최선을 다해보세요. 응원해요!
내일 신나,긍정적인 에너지가 넘치시는군요! 오늘도 파이팅!
갑자기 스노보드 배우고 싶어ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
오늘도 수채화 언제부터 했어 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
진짜 순대에 대해 알려줘 진짜,정말요! 더 이야기해주세요 😊
도예 강사 추천해줘,도예 강습은 지역 문화센터나 유튜브 강의를 먼저 찾아보세요!
원래 어부 왜 하는 거야 정말,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
혹시 변호사 좋아해 정말,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
갈비 칼로리 얼마야,갈비의 칼로리는 종류에 따라 다르지만 영양 정보 앱에서 확인해보세요!
진짜 권투 공부중이야 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
지리 포기하고 싶어,지리이 힘드시군요. 쉬운 부분부터 다시 시작해보는 건 어때요?
드럼 강사 추천해줘,드럼 강습은 지역 문화센터나 유튜브 강의를 먼저 찾아보세요!
혹시 심리학 포기했어,좋은 도전이에요! 최선을 다해보세요. 응원해요!
요즘 통계학 왜 하는 거야 진짜,좋은 도전이에요! 최선을 다해보세요. 응원해요!
김치찌개 자주 먹어,김치찌개을(를) 자주 드시는군요! 건강하게 즐기시길 바랍니다!
어떻게 점심 뭐 먹지,"짜장면, 김치찌개, 파스타 중 어떤 게 당기세요?"
요즘 바이올린 배우고 싶어 진짜,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
요즘 로스앤젤레스에 도전하고 싶어요,함께 이야기해봐요! 어떤 부분이 궁금하세요?
갑자기 갈비에 도전하고 싶어?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
나 테니스 진짜 재미있어?,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
요즘 프로그래머 너무 어려워?,흥미롭네요! 더 자세히 이야기해봐요.
원래 회계사 좋아해ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
오늘도 회계사에 대해 알려줘요,좋은 생각이에요! 조금 더 알려주시면 도움이 될 것 같아요.
요즘 인천 재미있어,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
짬뽕 자주 먹어,짬뽕을(를) 자주 드시는군요! 건강하게 즐기시길 바랍니다!
너무 외로워,당신의 감정은 소중해요. 천천히 이야기해요.
갑자기 테니스 잘 하고 싶어 정말,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
갑자기 경제 포기했어,멋진 경험이 될 것 같아요! 어떤 부분부터 시작하고 싶으세요?
혹시 유화 쉬워ㅎㅎ,관심을 갖고 계시는군요! 어떤 점이 궁금하세요?
너무 기뻐,행복한 순간을 즐기세요! 좋은 하루 되세요!
나 스테이크 좋아해,정말 멋진 선택이에요! 꾸준히 하면 분명 결과가 있을 거예요.
나 작가 재미있어ㅠㅠ,처음엔 누구나 그렇게 느껴요. 천천히 해봐요!
케이크에 도전하고 싶어 진짜,그렇군요! 어떤 경험을 하셨인지 이야기해주세요.
뭐 먹을까요?,기분에 따라 좋아하는 음식 드세요! 뭐 좋아하세요?
원래 생물 하면 어때?,정말요! 더 이야기해주세요 😊
나 불고기 해봤어ㅎㅎ,함께 이야기해봐요! 어떤 부분이 궁금하세요?
